region,type_sol,culture,rendement_moyen_predit,pluvio_moyenne,stress_hydrique_moyen,max_rendement_region,statut_recommandation
Louga,Sablonneux,Mil,501.43972391809456,358.45098039215685,0.597418300077027,707.0353621836231,CULTURE_VIABLE
Louga,Dior,Mil,500.72919557202806,361.9483870967741,0.6032473146915436,707.0353621836231,CULTURE_VIABLE
Louga,Dior,Arachide,683.7630510597041,351.26274509803915,0.501803922886942,707.0353621836231,CULTURE_OPTIMALE
Louga,Limoneux,Arachide,687.813015590622,356.30273972602737,0.5090039094833478,707.0353621836231,CULTURE_OPTIMALE
Louga,Argileux,Arachide,674.9948394778794,345.92321428571415,0.494176021111863,707.0353621836231,CULTURE_OPTIMALE
Louga,Limoneux,Mil,497.6264704600692,352.4785714285714,0.5874642836196082,707.0353621836231,CULTURE_VIABLE
Saint-Louis,Argileux,Mil,446.32235798935665,286.1142857142859,0.4768571418429178,1025.1754046057026,CULTURE_DECONSEILLE
Saint-Louis,Dior,Riz,968.2063942257455,302.5052631578947,0.302505264418167,1025.1754046057026,CULTURE_OPTIMALE
Saint-Louis,Ferralitique,Riz,1025.1754046057026,312.7708860759493,0.31277088651174234,1025.1754046057026,CULTURE_OPTIMALE
Saint-Louis,Sablonneux,Riz,977.6645557273479,304.5596491228069,0.3045596496055001,1025.1754046057026,CULTURE_OPTIMALE
Saint-Louis,Limoneux,Mil,456.18503680087383,286.6625000000001,0.47777083376422524,1025.1754046057026,CULTURE_DECONSEILLE
Saint-Louis,Ferralitique,Mil,468.14816632815814,296.431746031746,0.4940529101424747,1025.1754046057026,CULTURE_DECONSEILLE
Saint-Louis,Limoneux,Riz,1005.4072443977991,317.73799999999994,0.31773800164461136,1025.1754046057026,CULTURE_OPTIMALE
Saint-Louis,Dior,Mil,464.6556058504015,290.4719298245614,0.48411988532334044,1025.1754046057026,CULTURE_DECONSEILLE
Saint-Louis,Sablonneux,Mil,468.508681012181,304.90000000000003,0.5081666654774121,1025.1754046057026,CULTURE_DECONSEILLE
Saint-Louis,Argileux,Riz,948.1921109113873,295.5407407407407,0.29554074064449026,1025.1754046057026,CULTURE_OPTIMALE
Tambacounda,Ferralitique,Mil,839.0366895140415,923.991176470588,1.539985295604257,8661.140348879464,CULTURE_DECONSEILLE
Tambacounda,Argileux,Manioc,8461.158469052692,905.8489795918366,1.132311232235967,8661.140348879464,CULTURE_OPTIMALE
Tambacounda,Dior,Manioc,8360.877762537495,886.9545454545454,1.1086931770498103,8661.140348879464,CULTURE_OPTIMALE
Tambacounda,Dior,Mil,845.4932581892967,871.3414634146343,1.447548781953207,8661.140348879464,CULTURE_DECONSEILLE
Tambacounda,Limoneux,Manioc,8422.18247742604,883.6756097560975,1.104594515591133,8661.140348879464,CULTURE_OPTIMALE
Tambacounda,Sablonneux,Niebe,747.0000283869654,910.9333333333335,1.7826999955707126,8661.140348879464,CULTURE_DECONSEILLE
Tambacounda,Dior,Niebe,754.0877175058639,904.4511111111113,1.7765911102294922,8661.140348879464,CULTURE_DECONSEILLE
Tambacounda,Argileux,Mil,851.9264643362606,918.5923076923079,1.5287307730087867,8661.140348879464,CULTURE_DECONSEILLE
Tambacounda,Sablonneux,Mil,843.3347834443726,914.2125000000001,1.5236874967813492,8661.140348879464,CULTURE_DECONSEILLE
Tambacounda,Ferralitique,Manioc,8483.884517799499,886.1448275862068,1.1076810277741531,8661.140348879464,CULTURE_OPTIMALE
Tambacounda,Ferralitique,Niebe,749.0983371291032,881.5952380952383,1.7380095152627855,8661.140348879464,CULTURE_DECONSEILLE
Tambacounda,Limoneux,Niebe,744.3198343367867,903.7777777777776,1.7711644464068943,8661.140348879464,CULTURE_DECONSEILLE
Tambacounda,Limoneux,Mil,834.6389581089416,885.2160000000002,1.4753600060939789,8661.140348879464,CULTURE_DECONSEILLE
Tambacounda,Sablonneux,Manioc,8661.140348879464,910.2700000000001,1.1378374993801117,8661.140348879464,CULTURE_OPTIMALE
Tambacounda,Argileux,Niebe,725.8846372159423,890.7414634146344,1.7609512137203682,8661.140348879464,CULTURE_DECONSEILLE
Thies,Limoneux,Arachide,821.8112301803671,517.4272727272725,0.7391818183841128,821.8112301803671,CULTURE_OPTIMALE
Thies,Limoneux,Mil,613.2336296353998,500.53749999999997,0.8342291638255119,821.8112301803671,CULTURE_VIABLE
Thies,Sablonneux,Arachide,799.9718202345636,499.92244897959193,0.7141749281056073,821.8112301803671,CULTURE_OPTIMALE
Thies,Argileux,Arachide,809.6258031648247,504.6333333333333,0.7209047605593999,821.8112301803671,CULTURE_OPTIMALE
Thies,Dior,Mil,616.3868381868369,500.5,0.8341666714233511,821.8112301803671,CULTURE_VIABLE
Thies,Ferralitique,Mil,618.5144950412276,478.6353846153846,0.7977256417274475,821.8112301803671,CULTURE_VIABLE
Thies,Argileux,Mil,619.7293869245043,485.94259259259263,0.809904318164896,821.8112301803671,CULTURE_VIABLE
Thies,Dior,Arachide,810.5317234118764,503.77681159420297,0.7196811575820481,821.8112301803671,CULTURE_OPTIMALE
Thies,Ferralitique,Arachide,796.8907144781622,502.4491525423727,0.7177845057794603,821.8112301803671,CULTURE_OPTIMALE
Thies,Sablonneux,Mil,602.1265032232716,483.0290322580646,0.8050483835320319,821.8112301803671,CULTURE_VIABLE
Ziguinchor,Dior,Manioc,9733.159214960462,1192.4102564102564,1.4905128265038514,10156.16088709901,CULTURE_OPTIMALE
Ziguinchor,Sablonneux,Arachide,1354.3227176395721,1159.134545454545,1.655438967184587,10156.16088709901,CULTURE_DECONSEILLE
Ziguinchor,Dior,Riz,3840.21249206094,1186.5744680851064,1.1865744755623189,10156.16088709901,CULTURE_DECONSEILLE
Ziguinchor,Argileux,Manioc,9785.263886062145,1160.8937500000002,1.451117180287838,10156.16088709901,CULTURE_OPTIMALE
Ziguinchor,Sablonneux,Manioc,9846.586768697955,1194.0314285714287,1.492539290019444,10156.16088709901,CULTURE_OPTIMALE
Ziguinchor,Sablonneux,Riz,3731.7552772642875,1176.2323529411763,1.176232355482438,10156.16088709901,CULTURE_DECONSEILLE
Ziguinchor,Ferralitique,Manioc,9878.846334348273,1195.9785714285713,1.4949732082230704,10156.16088709901,CULTURE_OPTIMALE
Ziguinchor,Ferralitique,Riz,3928.4187088119716,1217.76,1.2177599951624871,10156.16088709901,CULTURE_DECONSEILLE
Ziguinchor,Limoneux,Manioc,10156.16088709901,1219.2410256410255,1.524051281122061,10156.16088709901,CULTURE_OPTIMALE
Ziguinchor,Argileux,Riz,3853.424725448476,1174.1734693877556,1.174173468229722,10156.16088709901,CULTURE_DECONSEILLE
Ziguinchor,Ferralitique,Arachide,1340.5505582068058,1196.8857142857144,1.7022210898853483,10156.16088709901,CULTURE_DECONSEILLE
Ziguinchor,Argileux,Arachide,1355.8667548851586,1160.2333333333336,1.6560408075650532,10156.16088709901,CULTURE_DECONSEILLE
Ziguinchor,Dior,Arachide,1375.6958329827362,1201.9000000000003,1.7104666709899903,10156.16088709901,CULTURE_DECONSEILLE
Ziguinchor,Limoneux,Riz,3802.353725735669,1183.0531250000001,1.183053120970726,10156.16088709901,CULTURE_DECONSEILLE
Ziguinchor,Limoneux,Arachide,1376.5327661441825,1179.8258064516128,1.685465439673393,10156.16088709901,CULTURE_DECONSEILLE
region,type_sol,culture,,,0.0,,CULTURE_DECONSEILLE
